0,1,2,3,4,5,6,7,8,9,target
0.0,0.933331755143476,-1.3333149926642034,6.0,2.0,2.0548100237852327,1.0,3.0,0.10024854829974053,1.0,6.131226489483142
0.0,1.3672210447433495,1.051040113267539,6.0,2.0,0.8099859200193905,1.0,0.0,-1.1019139055623428,0.0,4.948759890378168
0.0,1.5118508079433075,1.9322148263292709,4.0,2.0,-0.3567453806092738,3.0,6.0,-0.2400861966670477,0.0,3.218875824868201
0.0,1.2225912815433917,-0.08930363304764187,9.0,3.0,0.849032321587979,1.0,4.0,0.10024854829974053,1.0,5.638354669333745
0.0,0.3548127023436447,-0.8668107328079927,8.0,3.0,1.6659857853892943,1.0,1.0,-0.2400861966670477,1.0,5.662960480135946
0.0,0.06555317594372903,-1.3333149926642034,7.0,3.0,2.23023817924182,1.0,3.0,-0.8018767102098295,1.0,5.313205979041787
0.0,1.2225912815433917,-0.8149769261573029,1.0,1.0,-1.4462037667457348,1.0,3.0,-0.500832678631301,1.0,4.499809670330264
0.0,0.6440722287435604,-0.8668107328079927,10.0,4.0,0.6749412256580685,1.0,0.0,1.7534736314166093,0.0,6.1463292576688975
0.0,0.3548127023436447,-0.4521402796024721,6.0,2.0,1.0434444407859476,1.0,4.0,0.7013297752307827,1.0,5.700443573390688
0.0,-1.3807444560558495,1.051040113267539,6.0,3.0,0.6736041661313921,2.0,6.0,-0.200795483278788,0.0,4.543294782270004
0.0,-0.946855166455976,-0.8668107328079927,3.0,1.0,-0.8629674091518282,2.0,0.0,0.10024854829974053,0.0,1.791759469228055
0.0,-0.3683361136561445,1.2583753398703,2.0,1.0,-0.5511574998072427,3.0,4.0,-0.2400861966670477,1.0,5.433722003554241
0.0,-0.6575956400560602,1.6212119864251298,11.0,4.0,-0.16233326141130494,2.0,1.0,-0.500832678631301,1.0,5.5093883366279774
0.0,-0.946855166455976,-0.08930363304764187,10.0,4.0,-1.0573795283497969,1.0,6.0,-0.200795483278788,0.0,2.4849066497880004
0.0,-0.07907658725622882,-1.5406502192669635,3.0,1.0,-1.0966845153592373,1.0,6.0,1.1523924044855678,0.0,5.616771097666573
0.0,-0.946855166455976,0.5327020467606388,8.0,3.0,0.6546202023900103,1.0,2.0,0.7013297752307827,1.0,3.4339872044851463
0.0,1.2225912815433917,-1.1259797660614432,4.0,2.0,-0.3567453806092738,3.0,0.0,0.10024854829974053,0.0,4.382026634673881
0.0,1.2225912815433917,-1.0741459594107532,6.0,3.0,2.308589567819848,1.0,5.0,0.4002857436522538,1.0,5.733341276897747
0.0,1.6564805711432653,-0.8149769261573029,7.0,3.0,0.9463676739073894,1.0,5.0,-1.2519325032385995,1.0,4.948759890378168
0.0,-1.5253742192558073,-0.08930363304764187,12.0,4.0,-1.1547148806692076,1.0,3.0,0.10024854829974053,1.0,3.0910424533583165
0.0,-1.3807444560558495,-0.400306472951782,1.0,1.0,-1.523218095797087,2.0,6.0,-0.2400861966670477,0.0,2.8332133440562166
0.0,0.21018293914368688,-0.6076416995545424,8.0,3.0,1.1407797931053578,2.0,6.0,1.452429599838081,0.0,6.249975242259482
0.0,0.06555317594372903,-0.24480505299971225,5.0,2.0,1.1407797931053578,1.0,6.0,0.4002857436522538,0.0,5.883322388488279
0.0,1.3672210447433495,-0.08930363304764187,12.0,4.0,-0.9790281397717691,2.0,6.0,-1.2519325032385995,0.0,4.700480365792417
0.0,-0.8022254032560181,1.1028739199182296,5.0,2.0,0.3238263293040429,3.0,3.0,-0.2400861966670477,1.0,4.795790545596741
0.0,-0.8022254032560181,-1.0741459594107532,2.0,1.0,-1.0966845153592373,2.0,6.0,0.8513483729070389,0.0,2.6390573296152584
0.0,-0.3683361136561445,0.01436398025373833,7.0,3.0,2.1344984718899376,1.0,5.0,-1.2519325032385995,1.0,5.342334251964812
0.0,-1.670003982455765,0.06619778690442844,1.0,1.0,-1.8163026268411429,3.0,6.0,0.10024854829974053,0.0,3.218875824868201
0.0,-0.6575956400560602,0.9992063066168492,5.0,2.0,-0.06499790909189486,2.0,1.0,-1.1019139055623428,1.0,5.955837369464831
0.0,0.4994424655436026,-0.08930363304764187,5.0,2.0,1.0434444407859476,2.0,2.0,-1.2519325032385995,1.0,5.54907608489522
0.0,1.6564805711432653,0.16986540020580868,8.0,3.0,1.1798261946739466,1.0,2.0,-0.500832678631301,1.0,5.123963979403259
0.0,-1.5253742192558073,0.32536682015787843,9.0,3.0,0.7519555547094204,2.0,6.0,0.4002857436522538,0.0,4.31748811353631
0.0,1.3672210447433495,1.5693781797744404,3.0,2.0,-1.3881734014357647,2.0,3.0,0.4002857436522538,1.0,3.332204510175204
0.0,-1.5253742192558073,0.6363696600620191,11.0,4.0,-1.2517916475477657,2.0,3.0,0.10024854829974053,1.0,2.5649493574615367
0.0,1.2225912815433917,1.051040113267539,7.0,3.0,0.8099859200193905,3.0,0.0,-0.2400861966670477,0.0,5.17614973257383
0.0,0.4994424655436026,1.2583753398703,2.0,1.0,-0.4538221474878325,3.0,5.0,-0.200795483278788,1.0,4.553876891600541
0.0,1.3672210447433495,-0.5039740862531622,12.0,4.0,-0.9209977744617986,1.0,2.0,-0.200795483278788,1.0,5.337538079701318
0.0,-0.3683361136561445,-0.1929712463490221,5.0,2.0,0.032078857786663806,1.0,4.0,2.504573456023908,1.0,5.891644211825772
