cnt,dteday,holiday_0,holiday_1,hr,hum,mnth_1,mnth_10,mnth_11,mnth_12,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,season_1,season_2,season_3,season_4,temp_PCA,weathersit_1,weathersit_2,weathersit_3,weathersit_4,weekday,windspeed,workingday_0,workingday_1
2.833213344056216,2011-01-01,1,0,-1.670003982455765,0.9473724999661597,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.231470624279712,1,0,0,0,6,-0.24008619666704767,1,0
3.713572066704308,2011-01-01,1,0,-1.5253742192558073,0.8955386933154696,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.3288059765991178,1,0,0,0,6,-0.24008619666704767,1,0
3.4965075614664802,2011-01-01,1,0,-1.3807444560558495,0.8955386933154696,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.3288059765991178,1,0,0,0,6,-0.24008619666704767,1,0
2.6390573296152584,2011-01-01,1,0,-1.2361146928558915,0.6363696600620191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.2314706242797075,1,0,0,0,6,-0.24008619666704767,1,0
0.6931471805599453,2011-01-01,1,0,-1.0914849296559337,0.6363696600620191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.2314706242797075,1,0,0,0,6,-0.24008619666704767,1,0
0.6931471805599453,2011-01-01,1,0,-0.9468551664559759,0.6363696600620191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.309822012857736,0,1,0,0,6,-1.2519325032385995,1,0
1.0986122886681098,2011-01-01,1,0,-0.8022254032560181,0.8955386933154696,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.3288059765991178,1,0,0,0,6,-0.24008619666704767,1,0
1.3862943611198906,2011-01-01,1,0,-0.6575956400560602,1.2065415332196097,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.4258827434776764,1,0,0,0,6,-0.24008619666704767,1,0
2.1972245773362196,2011-01-01,1,0,-0.5129658768561024,0.6363696600620191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.2314706242797075,1,0,0,0,6,-0.24008619666704767,1,0
2.70805020110221,2011-01-01,1,0,-0.3683361136561445,0.6882034667127092,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.84264638588377,1,0,0,0,6,-0.24008619666704767,1,0
3.6109179126442243,2011-01-01,1,0,-0.22370635045618667,0.6882034667127092,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.5511574998072427,1,0,0,0,6,0.4002857436522538,1,0
4.04305126783455,2011-01-01,1,0,-0.07907658725622882,0.9473724999661597,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.7658906422732702,1,0,0,0,6,0.7013297752307827,1,0
4.442651256490317,2011-01-01,1,0,0.06555317594372903,0.7400372733633993,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.3567453806092737,1,0,0,0,6,0.7013297752307827,1,0
4.553876891600541,2011-01-01,1,0,0.21018293914368688,0.4808682401099487,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1623332614113048,0,1,0,0,6,0.8513483729070389,1,0
4.672828834461906,2011-01-01,1,0,0.3548127023436447,0.4808682401099487,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1623332614113048,0,1,0,0,6,0.7013297752307827,1,0
4.709530201312334,2011-01-01,1,0,0.49944246554360255,0.7400372733633993,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.2594100282898634,0,1,0,0,6,0.8513483729070389,1,0
4.543294782270004,2011-01-01,1,0,0.6440722287435604,0.9992063066168493,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.3567453806092737,0,1,0,0,6,0.8513483729070389,1,0
4.219507705176107,2011-01-01,1,0,0.7887019919435182,0.9992063066168493,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.2594100282898634,0,1,0,0,6,0.7013297752307827,1,0
